Name|period|AB|spt|mass|mass_unc|radius|radius_unc|teff|teff_unc|logg|logg_unc|Lbol|Lbol_unc|Vmag|Vmag_unc|
WZ Oph|4.18|A|F7V|1.2268|0.0071|1.402|0.012|6165|100|4.2335|0.0074|0.406|0.029|3.74|0.10|
HD 154676|9.10|B|F8V|1.2201|0.0062|1.419|0.012|6115|100|4.2203|0.0073|0.403|0.029|3.76|0.10|
FL Lyr|2.18|A|F8V|1.218|0.016|1.283|0.028|6150|100|4.307|0.019|0.325|0.034|3.95|0.11|
HD 179890|9.33|B|G8V|0.958|0.012|0.962|0.028|5300|100|4.453|0.025|-0.183|0.041|5.38|0.14|
V432 Aur|3.08|A|F9IV|1.2042|0.0058|2.429|0.023|6080|85|3.7479|0.0080|0.860|0.026|2.62|0.09|
HD 37071|8.07|B|F3V|1.0786|0.0053|1.2239|0.0072|6685|85|4.2955|0.0050|0.429|0.023|3.64|0.08|
EW Ori|6.94|A|G0V|1.174|0.012|1.133|0.011|5970|100|4.3992|0.0080|0.166|0.030|4.37|0.10|
HD 287727|9.94|B|G5V|1.1238|0.0089|1.083|0.011|5780|100|4.4198|0.0082|0.070|0.031|4.64|0.11|
BH Vir|0.82|A|F8V|1.1656|0.0082|1.247|0.024|6100|100|4.313|0.017|0.286|0.033|4.05|0.11|
HD 121909|9.68|B|G5V|1.0520|0.0058|1.135|0.023|5500|200|4.350|0.017|0.025|0.066|4.81|0.22|
ZZ UMa|2.30|A|G0V|1.1386|0.0052|1.513|0.019|5960|70|4.135|0.011|0.414|0.023|3.75|0.08|
BD+62 1132|9.86|B|K0V|0.9691|0.0048|1.1562|0.0096|5270|90|4.2984|0.0071|-0.034|0.030|5.02|0.12|
alpha Cen|79.91y|A|G2V|1.105|0.007|1.224|0.003|5824|26|4.3059|0.0035|0.190|0.008|4.33|0.06|
HD 128620/1|-0.29|B|K1V|0.934|0.006|0.863|0.005|5223|62|4.5364|0.0058|-0.303|0.021|5.71|0.09|
